regionName,dataDate,minT,maxT
北部地區,2026-04-28,20,31
北部地區,2026-04-29,21,29
北部地區,2026-04-30,19,22
北部地區,2026-05-01,19,26
北部地區,2026-05-02,20,29
北部地區,2026-05-03,22,31
北部地區,2026-05-04,23,30
中部地區,2026-04-28,21,33
中部地區,2026-04-29,22,32
中部地區,2026-04-30,20,26
中部地區,2026-05-01,20,29
中部地區,2026-05-02,22,31
中部地區,2026-05-03,22,32
中部地區,2026-05-04,23,31
南部地區,2026-04-28,23,33
南部地區,2026-04-29,24,32
南部地區,2026-04-30,22,30
南部地區,2026-05-01,22,31
南部地區,2026-05-02,23,32
南部地區,2026-05-03,24,32
南部地區,2026-05-04,25,33
東北部地區,2026-04-28,21,28
東北部地區,2026-04-29,22,28
東北部地區,2026-04-30,20,22
東北部地區,2026-05-01,19,24
東北部地區,2026-05-02,20,29
東北部地區,2026-05-03,22,30
東北部地區,2026-05-04,23,29
東部地區,2026-04-28,22,28
東部地區,2026-04-29,22,29
東部地區,2026-04-30,21,24
東部地區,2026-05-01,21,24
東部地區,2026-05-02,21,27
東部地區,2026-05-03,23,29
東部地區,2026-05-04,24,29
東南部地區,2026-04-28,23,29
東南部地區,2026-04-29,23,31
東南部地區,2026-04-30,23,27
東南部地區,2026-05-01,22,27
東南部地區,2026-05-02,22,29
東南部地區,2026-05-03,23,32
東南部地區,2026-05-04,24,30
